video_id,titulo,data_publicacao,descricao,visualizacoes,curtidas,comentarios,channel_id,channel_title,url,data_coleta,politico,partido,cargo
ldc6vLEr2Sg,A GLOBONEWS ME CENSUROU?,2026-08-06T00:10:03Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",159640,21180,1053,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=ldc6vLEr2Sg,2026-08-12,Renan Santos,MISSÃO,Candidato
5RewWBkZjyU,Um governo para todos,2026-08-05T21:00:14Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",167194,8546,217,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=5RewWBkZjyU,2026-08-12,Renan Santos,MISSÃO,Candidato
goHA5U1PaNQ,Nós construímos nosso próprio caminho,2026-08-05T19:00:09Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",26415,3925,142,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=goHA5U1PaNQ,2026-08-12,Renan Santos,MISSÃO,Candidato
4l6amCDFdfQ,Estou pronto para ser o CEO do Brasil?,2026-08-05T17:00:00Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",44462,4060,250,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=4l6amCDFdfQ,2026-08-12,Renan Santos,MISSÃO,Candidato
35-R0yZAHFs,Sobre bullying nas escolas.,2026-08-05T15:00:17Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",95042,6386,185,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=35-R0yZAHFs,2026-08-12,Renan Santos,MISSÃO,Candidato
rr1dhtrf5O4,Eles estão com medo de vir pro debate.,2026-08-04T21:00:25Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",168562,13298,404,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=rr1dhtrf5O4,2026-08-12,Renan Santos,MISSÃO,Candidato
0Jbu87PmvIE,FLÁVIO FUGIU NA SABATINA DO TALLIS GOMES NO G4| ANÁLISES RENAIS | 04/08/2026,2026-08-04T19:23:53Z,"Venha para o Congresso da Missão! http://congresso.missao.org.br 

Faça seu pix agora https://doe.missao.org.br/

Entre nos grupos de zap!
http://renansantosmbl.com/zap

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",122486,18346,691,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=0Jbu87PmvIE,2026-08-12,Renan Santos,MISSÃO,Candidato
LFJUp35HpJw,Minha posição em relação ao STF,2026-08-04T15:00:11Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",123422,9362,312,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=LFJUp35HpJw,2026-08-12,Renan Santos,MISSÃO,Candidato
mbXmVXtq070,Nós somos os escolhidos,2026-08-04T12:00:22Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",30573,3624,169,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=mbXmVXtq070,2026-08-12,Renan Santos,MISSÃO,Candidato
Z5mtFCY0FWk,"Se você não é ladrao nem oportunista, vem com a gente.",2026-08-03T22:00:24Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",61752,7943,287,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=Z5mtFCY0FWk,2026-08-12,Renan Santos,MISSÃO,Candidato
